Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2014,246,1/10/2014,Conciliación,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Incumplimiento de la función pública en la procuración de justicia,Ocotlán
2014,246,1/10/2014,Conciliación,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Hostigamiento sexual,Ocotlán
2014,246,1/10/2014,Conciliación,Procuraduría General de Justicia del Estado,Procuraduría General de Justicia del Estado,Violación a los derechos del niño,Ocotlán
2014,246,1/10/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Ocotlán
2014,1763,3/11/2014,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Mezcala (Poncitlán)
2014,1763,3/11/2014,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la integridad y seguridad personal,Mezcala (Poncitlán)
2014,3123,4/9/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Poncitlán
2014,3123,4/9/2014,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Poncitlán
2014,3578,4/10/2014,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guachinango
2014,5852,5/11/2014,Conciliación,Ayuntamiento de Puerto Vallarta,Ayuntamiento,Lesiones,El Pitillal
2014,5852,5/11/2014,Conciliación,"Dirección de Seguridad Pública, Tránsito y Bomberos de Puerto Vallarta",Dirección de Seguridad Municipal,Lesiones,El Pitillal
2014,5852,5/11/2014,Conciliación,"Dirección de Seguridad Pública, Tránsito y Bomberos de Puerto Vallarta",Dirección de Seguridad Municipal,Hostigamiento sexual,El Pitillal
2014,5852,5/11/2014,Conciliación,Ayuntamiento de Puerto Vallarta,Ayuntamiento,Hostigamiento sexual,El Pitillal
2014,5852,5/11/2014,Conciliación,"Dirección de Seguridad Pública, Tránsito y Bomberos de Puerto Vallarta",Dirección de Seguridad Municipal,Violación al derecho a la integridad y seguridad personal,El Pitillal
2014,5852,5/11/2014,Conciliación,Ayuntamiento de Puerto Vallarta,Ayuntamiento,Violación al derecho a la integridad y seguridad personal,El Pitillal
2014,6062,5/13/2014,Acumulación,Ayuntamiento de Puerto Vallarta,Ayuntamiento,Violación al derecho a la integridad y seguridad personal,El Pitillal
2014,6062,5/13/2014,Acumulación,"Dirección de Seguridad Pública, Tránsito y Bomberos de Puerto Vallarta",Dirección de Seguridad Municipal,Lesiones,El Pitillal
2014,6062,5/13/2014,Acumulación,Ayuntamiento de Puerto Vallarta,Ayuntamiento,Lesiones,El Pitillal
