Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2019,5775,7/25/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2019,5776,7/25/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2019,5776,7/25/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2019,5777,7/25/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2019,5777,7/25/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2019,7299,9/21/2019,Conciliación,Fiscalía Regional,Fiscalía Regional,Abuso sexual,Tlajomulco De Zúñiga
2019,7299,9/21/2019,Conciliación,Fiscalía Regional,Fiscalía Regional,Violación a los derechos del niño,Tlajomulco De Zúñiga
2019,7299,9/21/2019,Conciliación,Secretaría de Salud,Secretaría de Salud,Violación al derecho a la igualdad y al trato digno,Tlajomulco De Zúñiga
2019,7299,9/21/2019,Conciliación,Fiscalía Regional,Fiscalía Regional,Violación al derecho a la igualdad y al trato digno,Tlajomulco De Zúñiga
2019,7299,9/21/2019,Conciliación,Secretaría de Salud,Secretaría de Salud,Abuso sexual,Tlajomulco De Zúñiga
2019,7299,9/21/2019,Conciliación,Secretaría de Salud,Secretaría de Salud,Violación a los derechos del niño,Tlajomulco De Zúñiga
2019,7514,10/7/2019,Archivo definitivo,Ayuntamiento de Tlajomulco de Zúñiga,Ayuntamiento,Violación a los derechos laborales,Tlajomulco De Zúñiga
2019,7514,10/7/2019,Archivo definitivo,Ayuntamiento de Tlajomulco de Zúñiga,Ayuntamiento,Hostigamiento sexual,Tlajomulco De Zúñiga
2019,9056,10/16/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Tomatlán
2019,9056,10/16/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tomatlán
2019,9056,10/16/2019,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Tomatlán
2019,9075,10/18/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2019,9075,10/18/2019,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2019,10630,12/11/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2019,10630,12/11/2019,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2019,10862,12/18/2019,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Jamay
2019,10862,12/18/2019,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Jamay
2019,10862,12/18/2019,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Jamay
2020,87,1/2/2020,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Ocotlán
2020,87,1/2/2020,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Ocotlán
2020,145,1/10/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Guadalajara
2020,145,1/10/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2020,145,1/10/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Discriminación por género,Guadalajara
2020,145,1/10/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2020,2195,2/13/2020,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Zapopan
2020,2195,2/13/2020,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Zapopan
2020,2195,2/13/2020,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2020,2278,2/20/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Cihuatlán
2020,2278,2/20/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Cihuatlán
2020,2279,2/20/2020,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Cihuatlán
2020,2279,2/20/2020,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Cihuatlán
2020,2312,2/22/2020,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
2020,2312,2/22/2020,Por no tratarse de violación de D. H.,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2020,3210,3/3/2020,Archivo provisional,Secretaría de Salud,Secretaría de Salud,Violación a los derechos del niño,Ameca
2020,3210,3/3/2020,Archivo provisional,Secretaría de Salud,Secretaría de Salud,Abuso sexual,Ameca
2020,4713,6/26/2020,Conciliación,Ayuntamiento de Tala,Ayuntamiento,Violación a los derechos laborales,Tala
2020,4713,6/26/2020,Conciliación,Ayuntamiento de Tala,Ayuntamiento,Violación al derecho a la igualdad y al trato digno,Tala
2020,4713,6/26/2020,Conciliación,Ayuntamiento de Tala,Ayuntamiento,Hostigamiento sexual,Tala
2020,4905,7/8/2020,Se emitió recomendación,Ayuntamiento de Mascota,Ayuntamiento,Hostigamiento sexual,Ocotlán
2020,4905,7/8/2020,Se emitió recomendación,Ayuntamiento de Mascota,Ayuntamiento,Violación a los derechos del niño,Mascota
2020,4905,7/8/2020,Se emitió recomendación,Ayuntamiento de Mascota,Ayuntamiento,Hostigamiento sexual,Mascota
2020,4905,7/8/2020,Se emitió recomendación,Ayuntamiento de Mascota,Ayuntamiento,Violación a los derechos del niño,Ocotlán
2020,5952,8/12/2020,Desistimiento,Ayuntamiento de Ciudad Guzmán,Ayuntamiento,Abuso sexual,Ciudad Guzmán
2020,5952,8/12/2020,Desistimiento,Ayuntamiento de Ciudad Guzmán,Ayuntamiento,Violación al derecho a la igualdad y al trato digno,Ciudad Guzmán
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Unión De Tula
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Violación al derecho a la integridad y seguridad personal,Unión De Tula
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Violación al derecho a la integridad y seguridad personal,Guadalajara
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Violación al derecho a la legalidad y seguridad jurídica,Guadalajara
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Guadalajara
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Abuso sexual,Unión De Tula
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Abuso sexual,Guadalajara
2020,6850,9/21/2020,Archivo provisional,Fiscalía Central,Fiscalía Central,Violación al derecho a la legalidad y seguridad jurídica,Unión De Tula
2020,6881,9/23/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2020,6881,9/23/2020,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Ejercicio indebido de la función pública,Guadalajara
2020,7106,10/3/2020,Se emitió recomendación,Ayuntamiento de Tototlán,Ayuntamiento,Hostigamiento sexual,Ocotlán
2020,7106,10/3/2020,Se emitió recomendación,Ayuntamiento de Tototlán,Ayuntamiento,Violación al derecho a la igualdad y al trato digno,Tototlán
2020,9335,11/4/2020,Conciliación,Ayuntamiento de Tala,Ayuntamiento,Violación a los derechos laborales,Tala
2020,9335,11/4/2020,Conciliación,Ayuntamiento de Tala,Ayuntamiento,Hostigamiento sexual,Tala
2021,2448,4/27/2021,Recepción de informes,Centro Estatal de Evaluación y Control de Confianza,Centro Estatal de Evaluación y Control de Confianza,Hostigamiento sexual,Guadalajara
2021,2581,5/13/2021,Periodo probatorio,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Ejercicio indebido de la función pública,Tlaquepaque
2021,2581,5/13/2021,Periodo probatorio,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Tlaquepaque
2021,2581,5/13/2021,Periodo probatorio,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tlaquepaque
2021,2593,5/13/2021,Periodo probatorio,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Guadalajara
2021,2593,5/13/2021,Periodo probatorio,Fiscalía Central,Fiscalía Central,Hostigamiento sexual,Guadalajara
2021,2595,5/13/2021,Periodo probatorio,Ayuntamiento de Tlajomulco de Zúñiga,Ayuntamiento,Violación al derecho a la igualdad y al trato digno,Tlajomulco De Zúñiga
2021,2595,5/13/2021,Periodo probatorio,Ayuntamiento de Tlajomulco de Zúñiga,Ayuntamiento,Hostigamiento sexual,Tlajomulco De Zúñiga
2021,3291,6/24/2021,Falta de interés,Reclusorio Preventivo de la Zona Metropolitana,Reclusorio Preventivo de la Zona Metropolitana,Violación al derecho a la igualdad y al trato digno,Guadalajara
2021,3291,6/24/2021,Falta de interés,Reclusorio Preventivo de la Zona Metropolitana,Reclusorio Preventivo de la Zona Metropolitana,Hostigamiento sexual,Guadalajara
2021,3291,6/24/2021,Falta de interés,Reclusorio Preventivo de la Zona Metropolitana,Reclusorio Preventivo de la Zona Metropolitana,Violación al derecho a la legalidad y seguridad jurídica,Guadalajara
